sheet,field,type,definition,allowed_or_unit
S6/S11/revision,phosphosite_support_status / phosphosite_record_status,see source table,Positive differential-site records only. No record is not a tested negative; the full measurable/testable phosphosite universe was not reconstructed.,Defined in revision outputs
S6/S11/revision,phosphosite_differential_BR8_vs_MG / phosphosite_differential,see source table,Legacy Boolean indicating presence in a differential-site record table; False does not establish a measured nonsignificant site,Defined in revision outputs
S6/S11/revision,broad_tissue_measurement_coverage,see source table,True iff measured in at least 9 of the 11 tissue contexts; contains no direction-agreement condition and is not a grade input,Defined in revision outputs
S6/S11/revision,tissue_same_direction_context_count,see source table,Number of measured tissue contexts matching reference direction; denominator is tissue_context_count,Defined in revision outputs
S6/S11/revision,GSE235023 role mapping,see source table,Historical planned_role=sensitivity; independent external-transfer sensitivity; does not select the signature or enter frozen candidate grades,Defined in revision outputs
S12_Comparisons,direction/rho_bootstrap_p025/p975,number,Conditional endpoint-column empirical bootstrap percentiles; not full-pipeline uncertainty,proportion or correlation
S13_External_context,effect,number,"Microarray percentile-rank endpoint difference or sequencing log2(CPM+1) endpoint difference, as stated by effect_scale; not DESeq2 log2 fold change",platform-specific
S13_External_context,bootstrap_same_direction_frequency,proportion,Fraction of exact endpoint resamples with reference-matching sign; not gene-wise P value or posterior probability,0 to 1
S14a_Selection_support,selection_adjusted_enrichment_estimable,boolean,False when full-signature empirical source-selection support is absent; no extrapolated adjusted P value supplied,False
S14b_Multiplicity,nominal_p / exploratory_bh_three_layers,number,"Separate schema, from crosslayer_multiplicity.csv; never read as assay sample counts",0 to 1
S16_Worked_query,retained_for_worked_query,boolean,"Post-review illustrative query: frozen flavour/metabolism theme, concordant differential protein, all four external studies measured and same point sign. Not a validated ranking.",True / False
S6_Candidates; S17_Prior_RIN_sets,prior_241_membership,category,Exact-ID membership in original Dataset 2; absence does not establish novelty or assay coverage.,listed; not_listed_exact_ID
S6_Candidates; S17_Prior_RIN_sets,prior_1200_membership,category,Exact-ID membership in original Dataset 1; its gene-region assignment differs from frozen reprocessing.,listed; not_listed_exact_ID
S6_Candidates; S17_Prior_RIN_sets,comparison_class,category,Partition by original gene lists; no new-target or causal inference.,prior_241; prior_binding_only; reprocessed_association_only
S6_Candidates; S17_Prior_RIN_sets,any_cross_replicate_interval_overlap,boolean,"Any two qualifying intervals from distinct replicates overlap on the same chromosome using inclusive endpoints; auxiliary check, not the original pipeline.",True; False
S6_Candidates,occupancy_definition_note,text,Frozen gene-level association in >=2 independent tables; not necessarily the same genomic site. Also qualifies legacy binding/occupancy fields.,text
S18_Peak_coordinates,source_row,integer,"One-based GEO text-file row, including the header. S17 equivalents are prior_dataset1_row and prior_dataset2_row.",row number
S17_Prior_RIN_sets,cross_allele_sign_compatibility,category,Original positive/negative label versus current lower/higher mutant response; contrasts are not equivalent.,compatible; different; not_assessed
S18_Peak_coordinates,coordinate_reference,text,Original study genome/annotation context; peak-file assembly label is not independently specified.,genome v2.31; ITAG2
S18_Peak_coordinates,coordinate_convention,text,Source coordinates retained; zero/one-based convention unverified. Auxiliary overlap uses inclusive endpoints.,source start/end
S18_Peak_coordinates,coordinate_conversion,text,No liftover or conversion to Ensembl Plants release 63 was performed.,None
